Índice	IDUNIDADE	METAJUNJUL	DTFIM	ANO
2234	1001012526	368	31/01/2022	2022
2235	1001012610	16	31/01/2022	2022
2236	3001000072	120	31/01/2022	2022
2237	1001012530	164	31/01/2022	2022
2238	1001012498	18	31/01/2022	2022
2239	3001000020	209	31/01/2022	2022
2240	1001012548	122	31/01/2022	2022
2241	1001012570	17	31/01/2022	2022
2242	3001000022	144	31/01/2022	2022
2243	1001012542	130	31/01/2022	2022
2244	1001012594	13	31/01/2022	2022
2245	1001027165	87	31/01/2022	2022
2246	1001000099	143	31/01/2022	2022
2247	1046016059	135	31/01/2022	2022
2248	1010016157	98	31/01/2022	2022
2249	1012015439	67	31/01/2022	2022
2250	1065065001	139	31/01/2022	2022
2251	1070011388	99	31/01/2022	2022
2252	1005011703	83	31/01/2022	2022
2253	1006011106	146	31/01/2022	2022
2254	1008011826	156	31/01/2022	2022
2255	1001012524	120	31/01/2022	2022
2256	1097010016	50	31/01/2022	2022
2257	1009015980	80	31/01/2022	2022
2258	1136021126	59	31/01/2022	2022
2259	1013014285	78	31/01/2022	2022
2260	1015012327	181	31/01/2022	2022
2261	1024014662	92	31/01/2022	2022
2262	1028012012	346	31/01/2022	2022
2263	1133011030	82	31/01/2022	2022
2264	1039013583	135	31/01/2022	2022
2265	1040014567	177	31/01/2022	2022
2266	1045012215	236	31/01/2022	2022
2267	1049013438	51	31/01/2022	2022
2268	1051013957	87	31/01/2022	2022
2269	1061011582	136	31/01/2022	2022
2270	1001013129	46	31/01/2022	2022
2271	1017016557	153	31/01/2022	2022
2272	1005011707	23	31/01/2022	2022
2273	1006011110	49	31/01/2022	2022
2274	1001012512	24	31/01/2022	2022
2275	1015012331	55	31/01/2022	2022
2276	1028012018	28	31/01/2022	2022
2277	1040014571	57	31/01/2022	2022
2278	1046059507	41	31/01/2022	2022
2279	1051013963	32	31/01/2022	2022
2280	1001013119	16	31/01/2022	2022
2281	1001012602	75	31/01/2022	2022
2282	1001012596	24	31/01/2022	2022
2283	1001012588	842	31/01/2022	2022
2284	1006011108	149	31/01/2022	2022
2285	1001012494	97	31/01/2022	2022
2286	1001012528	169	31/01/2022	2022
2287	1074074001	107	31/01/2022	2022
2288	1001012620	154	31/01/2022	2022
2289	3006012001	179	31/01/2022	2022
2290	3001000010	121	31/01/2022	2022
2291	3001000678	667	31/01/2022	2022
2292	3061350511	35	31/01/2022	2022
2293	3028000070	94	31/01/2022	2022
2294	3001012616	7	31/01/2022	2022
2295	1001012516	7	31/01/2022	2022
2296	1010016159	91	31/01/2022	2022
2297	1012015441	203	31/01/2022	2022
2298	1065065002	110	31/01/2022	2022
2299	1070011390	105	31/01/2022	2022
2300	1005011705	99	31/01/2022	2022
2301	1006011906	146	31/01/2022	2022
2302	1008011832	113	31/01/2022	2022
2303	1001012502	179	31/01/2022	2022
2304	1097010018	46	31/01/2022	2022
2305	1009015982	94	31/01/2022	2022
2306	1136167508	78	31/01/2022	2022
2307	1013014287	110	31/01/2022	2022
2308	1015012329	151	31/01/2022	2022
2309	1024014664	111	31/01/2022	2022
2310	1028012014	220	31/01/2022	2022
2311	1133011032	92	31/01/2022	2022
2312	1039013585	193	31/01/2022	2022
2313	1040014569	188	31/01/2022	2022
2314	1045012219	187	31/01/2022	2022
2315	1049013442	58	31/01/2022	2022
2316	1051013959	142	31/01/2022	2022
2317	1061011584	112	31/01/2022	2022
2318	1001014622	40	31/01/2022	2022
2319	1017016559	116	31/01/2022	2022
2320	1005011972	90	31/01/2022	2022
2321	1006011114	43	31/01/2022	2022
2322	1001012514	28	31/01/2022	2022
2323	1015012333	73	31/01/2022	2022
2324	1028012020	27	31/01/2022	2022
2325	1040062507	46	31/01/2022	2022
2326	1051013967	26	31/01/2022	2022
2327	1001013125	23	31/01/2022	2022
2328	1001012488	31	31/01/2022	2022
2329	1001319510	27	31/01/2022	2022
2330	1001012590	857	31/01/2022	2022
2331	1006011118	207	31/01/2022	2022
2332	1001012546	100	31/01/2022	2022
2333	1001012574	204	31/01/2022	2022
2334	1074017868	137	31/01/2022	2022
2335	1001012598	136	31/01/2022	2022
2336	3006000077	181	31/01/2022	2022
2337	3001000074	134	31/01/2022	2022
2338	3001000679	475	31/01/2022	2022
2339	3028000701	115	31/01/2022	2022
2340	3001012592	7	31/01/2022	2022
2341	1001012550	5	31/01/2022	2022
2342	1005011711	105	31/01/2022	2022
2343	1006026148	116	31/01/2022	2022
2344	1001012566	123	31/01/2022	2022
2345	1097139508	15	31/01/2022	2022
2346	1015012337	30	31/01/2022	2022
2347	1028012016	210	31/01/2022	2022
2348	1039017016	20	31/01/2022	2022
2349	1040014573	156	31/01/2022	2022
2350	1051013961	115	31/01/2022	2022
2351	1006011122	23	31/01/2022	2022
2352	1001012508	23	31/01/2022	2022
